Month,ARSAR00228,ARSAR00290,ARSAR00295,ARSAR00350,ARSAR00400,ARSAR00428,ARSAR00429,ARSAR00583,ARSAR01553,ARSAR01801,ARSAR02025-3,ARSAR04237,ARSARFIT011,ARSARFIT106,BCHAR00076,BCHAR01871,BCHAR01980,BCHAR02000,BCHAR02441,BCHAR02465,BCHAR02586,BCHAR03648,BHRAR00616,CDAAR01291,CEIAR00567,CEIAR00568,CNTAR01145,CNTAR01941,CNTAR03515,CNTAR04183,CNTAR04335,DCOAR02238,DCOAR02598,DCOAR03818,DRLAR00845,DTTAR01552,DTTAR02617,DTTAR03697,DTTAR03997,DTTAR04565,DTTAR04775,FLCAR05113,FLDAR00074,FLDAR00175,FLDAR02486,HJMAR00181,HJMAR00191,HJMAR00192,HJMAR00193,HJMAR00246,HJMAR00248,HJMAR00524,HJMAR00532,HJMAR00783,HJMAR03788,HJMAR04178,HJMAR04639,HLAAR00780,HLAAR01671,JSCAR01691,KNRAR00036,MLEAR00074,MLEAR00075,MLEAR01254,MLEAR01472,MLEAR01973,MLEAR02315,MLEAR02486,MLEAR02496,MLEAR03905,MRTAR01270,MRTAR01447,NAKAR00030,OTHAR00180,OTHAR00182,OTHAR00466,OTHAR00528,OTHAR00589,OTHAR01276,OTHAR01297,OTHAR01856,OTHAR01874,OTHAR02479-1,OTHAR02505,OTHAR02506,OTHAR03486,OTHAR05967,OTHAR05969,OTHAR05973,OTHTP00074,OTHTP00230,OTHTP1358631,OTHTP1369053-2,OTHTP1369053-3,OTHTP17146,OTHTPCM-6-94,PRVAR00071,PRVAR01138,PRVAR04333,RORAR01130,RORAR01131,RORAR01276,RORAR01297,RORAR01805,RORAR02313,RORAR02416,SHNAR00529,SHNAR01297-S,SHNAR01546,SHNAR02924,SHNAR06409,SKFAR00191,SKFAR00192,SKFAR01805,TKAAR01552,TKAAR02924,TKAAR02975,VLEAR00996,WBCAR00071,WBCAR00089,WBCAR00111,WBCAR00314,WBCAR00315,WBCAR00615,WBCAR00696,WBCAR00796,WBCAR01213,WBCAR01454,WBCAR01926,WBCAR01966,WBCAR02025-1,WBCAR02160,WBCAR04921,WTKAR01155
2023-01,3.0,0.0,0.0,6.0,160.0,11.0,11.0,0.0,1.0,4.0,0.0,0.0,0.0,15.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,8.0,5.0,6.0,4.0,0.0,10.0,0.0,4.0,4.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,7.0,7.0,9.0,1.0,0.0,12.0,17.0,0.0,2.0,0.0,1.0,7.0,0.0,0.0,0.0,15.0,0.0,11.0,3.0,4.0,7.0,2.0,3.0,0.0,0.0,0.0,-5.0,10.0,0.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,27.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,16.0
2023-02,2.0,0.0,96.0,0.0,160.0,56.0,11.0,30.0,0.0,2.0,2.0,1.0,1.0,0.0,6.0,30.0,12.0,25.0,0.0,0.0,1.0,7.0,0.0,6.0,3.0,3.0,6.0,1.0,0.0,4.0,5.0,10.0,0.0,5.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,4.0,5.0,2.0,4.0,20.0,8.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,4.0,2.0,0.0,10.0,7.0,2.0,13.0,4.0,5.0,6.0,0.0,0.0,0.0,0.0,150.0,3.0,0.0,0.0,0.0,30.0,0.0,1.0,1.0,4.0,4.0,2.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,15.0,0.0,0.0,4.0,77.0,1.0,2.0,10.0,0.0,6.0,0.0,40.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,3.0,2.0,0.0,6.0,0.0,20.0,1.0,2.0,1.0,0.0,40.0
2023-03,3.0,0.0,64.0,0.0,1120.0,11.0,11.0,0.0,9.0,2.0,0.0,4.0,20.0,16.0,5.0,0.0,16.0,4.0,0.0,0.0,0.0,5.0,7.0,0.0,7.0,9.0,0.0,0.0,0.0,9.0,6.0,0.0,2.0,1.0,19.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,6.0,12.0,7.0,10.0,1.0,3.0,8.0,24.0,0.0,2.0,0.0,20.0,4.0,17.0,20.0,38.0,20.0,24.0,11.0,8.0,2.0,16.0,2.0,0.0,0.0,0.0,6.0,12.0,2.0,2.0,3.0,83.0,0.0,0.0,0.0,0.0,20.0,5.0,2.0,5.0,1.0,0.0,6.0,0.0,1.0,40.0,0.0,0.0,5.0,5.0,5.0,17.0,1.0,11.0,80.0,4.0,1.0,20.0,10.0,6.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,18.0,7.0,4.0,0.0,0.0,0.0,11.0,5.0,5.0,5.0,16.0,16.0,4.0,11.0,10.0,3.0,7.0,0.0,4.0,0.0,0.0,0.0,107.0
2023-04,2.0,0.0,0.0,0.0,560.0,7.0,7.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,2.0,0.0,3.0,7.0,2.0,1.0,1.0,7.0,0.0,0.0,4.0,4.0,3.0,2.0,0.0,0.0,9.0,10.0,2.0,5.0,11.0,0.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,9.0,7.0,2.0,0.0,27.0,22.0,0.0,0.0,0.0,10.0,4.0,0.0,20.0,0.0,2.0,2.0,11.0,5.0,1.0,2.0,4.0,2.0,0.0,2.0,0.0,12.0,2.0,0.0,4.0,45.0,20.0,288.0,0.0,70.0,0.0,2.0,0.0,1.0,1.0,10.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,4.0,19.0,1.0,4.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,20.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,19.0,3.0,4.0,2.0,7.0,9.0,1.0,0.0,6.0,2.0,4.0,0.0,0.0,80.0
2023-05,1.0,8.0,96.0,2.0,880.0,61.0,10.0,31.0,14.0,4.0,0.0,0.0,0.0,26.0,9.0,30.0,14.0,4.0,1.0,0.0,13.0,1.0,2.0,16.0,2.0,2.0,6.0,3.0,0.0,5.0,30.0,5.0,0.0,0.0,13.0,0.0,6.0,16.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,6.0,17.0,3.0,5.0,10.0,20.0,12.0,0.0,2.0,0.0,1.0,4.0,18.0,2.0,4.0,7.0,10.0,21.0,10.0,2.0,12.0,4.0,6.0,0.0,2.0,0.0,0.0,8.0,50.0,1.0,62.0,0.0,288.0,0.0,30.0,0.0,3.0,4.0,7.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,4.0,45.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,20.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,2.0,2.0,3.0,4.0,0.0,0.0,0.0,10.0,3.0,12.0,0.0,3.0,4.0,0.0,4.0,0.0,104.0
2023-06,0.0,8.0,192.0,0.0,1700.0,9.0,8.0,1.0,5.0,2.0,10.0,2.0,1.0,19.0,4.0,0.0,12.0,6.0,13.0,5.0,1.0,1.0,5.0,4.0,3.0,3.0,0.0,9.0,2.0,6.0,0.0,0.0,0.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,1.0,6.0,0.0,5.0,4.0,20.0,12.0,10.0,16.0,0.0,21.0,4.0,0.0,6.0,10.0,3.0,10.0,6.0,4.0,1.0,3.0,0.0,0.0,1.0,4.0,8.0,0.0,11.0,0.0,6.0,9.0,0.0,0.0,0.0,10.0,1.0,5.0,0.0,1.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,9.0,14.0,41.0,6.0,2.0,20.0,20.0,9.0,0.0,0.0,0.0,0.0,4.0,20.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,5.0,5.0,5.0,4.0,9.0,3.0,6.0,18.0,1.0,10.0,2.0,10.0,64.0
2023-07,1.0,8.0,64.0,0.0,720.0,46.0,15.0,1.0,1.0,4.0,7.0,5.0,0.0,5.0,4.0,102.0,19.0,4.0,1.0,10.0,4.0,5.0,7.0,0.0,1.0,1.0,0.0,4.0,0.0,4.0,1.0,0.0,4.0,1.0,11.0,0.0,6.0,10.0,10.0,100.0,0.0,5.0,50.0,3.0,6.0,8.0,2.0,6.0,9.0,0.0,0.0,12.0,0.0,0.0,10.0,0.0,2.0,0.0,2.0,4.0,5.0,0.0,14.0,8.0,8.0,9.0,2.0,2.0,6.0,0.0,30.0,2.0,5.0,1.0,4.0,30.0,20.0,0.0,0.0,0.0,0.0,2.0,8.0,3.0,3.0,20.0,10.0,0.0,2.0,0.0,0.0,40.0,2.0,3.0,0.0,0.0,3.0,4.0,62.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,2.0,0.0,100.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,0.0,4.0,2.0,0.0,1.0,6.0,6.0,0.0,80.0
2023-08,0.0,12.0,0.0,6.0,1360.0,13.0,13.0,1.0,10.0,4.0,6.0,2.0,2.0,20.0,4.0,0.0,87.0,2.0,9.0,13.0,1.0,3.0,1.0,0.0,5.0,7.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,6.0,22.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,4.0,12.0,14.0,2.0,2.0,4.0,1.0,0.0,11.0,0.0,0.0,0.0,2.0,0.0,16.0,4.0,5.0,20.0,13.0,4.0,0.0,6.0,1.0,4.0,6.0,4.0,12.0,2.0,5.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,2.0,0.0,0.0,20.0,13.0,0.0,50.0,0.0,6.0,6.0,0.0,0.0,9.0,19.0,18.0,5.0,1.0,0.0,10.0,4.0,10.0,0.0,0.0,10.0,4.0,0.0,100.0,20.0,0.0,15.0,20.0,40.0,0.0,1.0,5.0,8.0,2.0,2.0,3.0,0.0,2.0,0.0,16.0,5.0,0.0,4.0,6.0,8.0,10.0,105.0
2023-09,2.0,0.0,0.0,6.0,1600.0,13.0,8.0,5.0,5.0,2.0,2.0,2.0,4.0,0.0,3.0,30.0,13.0,5.0,4.0,2.0,12.0,0.0,1.0,0.0,10.0,21.0,8.0,35.0,10.0,0.0,5.0,5.0,21.0,1.0,18.0,20.0,0.0,10.0,0.0,0.0,0.0,24.0,0.0,3.0,0.0,7.0,3.0,3.0,4.0,8.0,4.0,4.0,0.0,10.0,0.0,9.0,4.0,17.0,10.0,0.0,1.0,10.0,12.0,8.0,5.0,14.0,1.0,13.0,0.0,0.0,12.0,24.0,7.0,0.0,1.0,64.0,10.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,14.0,4.0,0.0,17.0,7.0,6.0,36.0,4.0,7.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,4.0,20.0,0.0,0.0,0.0,2.0,0.0,0.0,20.0,0.0,0.0,3.0,1.0,3.0,3.0,6.0,3.0,5.0,7.0,4.0,0.0,0.0,2.0,1.0,0.0,50.0
2023-10,2.0,8.0,96.0,0.0,400.0,65.0,32.0,33.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,5.0,3.0,0.0,3.0,2.0,4.0,0.0,16.0,8.0,0.0,9.0,0.0,5.0,18.0,1.0,0.0,2.0,5.0,20.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,4.0,4.0,3.0,0.0,0.0,24.0,16.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,68.0,13.0,1.0,2.0,9.0,5.0,11.0,0.0,3.0,15.0,0.0,2.0,50.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,20.0,6.0,2.0,0.0,0.0,0.0,10.0,26.0,2.0,0.0,60.0,0.0,0.0,0.0,60.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,40.0,0.0,60.0,8.0,4.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,1.0,8.0,0.0,0.0,20.0,88.0
2023-11,5.0,0.0,96.0,10.0,720.0,12.0,7.0,5.0,1.0,0.0,4.0,5.0,0.0,15.0,5.0,0.0,7.0,26.0,0.0,1.0,14.0,1.0,1.0,0.0,4.0,6.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,6.0,30.0,0.0,0.0,100.0,0.0,0.0,5.0,0.0,9.0,13.0,9.0,9.0,8.0,100.0,4.0,0.0,0.0,0.0,12.0,4.0,0.0,10.0,14.0,8.0,0.0,12.0,1.0,13.0,3.0,2.0,9.0,6.0,11.0,15.0,0.0,8.0,20.0,0.0,58.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,2.0,2.0,0.0,3.0,20.0,1.0,0.0,50.0,20.0,2.0,2.0,0.0,0.0,2.0,19.0,43.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,3.0,0.0,0.0,0.0,0.0,17.0,20.0,0.0,20.0,1.0,6.0,1.0,2.0,0.0,0.0,0.0,13.0,4.0,6.0,0.0,10.0,0.0,4.0,1.0,0.0,139.0
2023-12,5.0,0.0,0.0,2.0,1520.0,10.0,3.0,7.0,1.0,2.0,0.0,1.0,0.0,15.0,8.0,0.0,8.0,6.0,0.0,0.0,3.0,3.0,3.0,4.0,4.0,5.0,7.0,35.0,3.0,5.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,1.0,2.0,20.0,9.0,0.0,0.0,20.0,10.0,6.0,1.0,10.0,0.0,0.0,0.0,17.0,8.0,1.0,6.0,6.0,12.0,0.0,0.0,18.0,56.0,6.0,0.0,4.0,150.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,43.0,5.0,3.0,60.0,60.0,1.0,20.0,0.0,0.0,30.0,4.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,1.0,3.0,2.0,4.0,8.0,8.0,5.0,4.0,0.0,3.0,10.0,32.0,0.0,0.0,0.0,2.0,96.0
